pool	index	translation
outcome.success.easy.pool	4	"> Du tog dig hit.
> 
> Reglerna var enkla —
> 
> valet var ditt."
outcome.success.easy.pool	5	"> Avståndet fick mening.
> 
> Och tiden svarade på dina steg."
outcome.success.easy.pool	6	"> Allt lyser inte för alltid.
> 
> Men det här ögonblicket gjorde det."
outcome.success.easy.pool	7	"Ljuset föll jämnt,
och varje skugga försvann."
outcome.success.easy.pool	8	"Vinden tystnade.
Och allt återvände dit det hörde hemma."
outcome.success.easy.pool	9	"Ett ögonblick av tystnad.
Världen hämtade andan."
outcome.success.easy.pool	10	"Spåret ristades djupt i sanden —
utom räckhåll för vinden."
outcome.success.easy.pool	11	"Balansen återställdes.
Allt hade lett fram till detta ögonblick."
outcome.success.easy.pool	12	"Tiden gled förbi i tystnad,
gömd i minnets hörn."
outcome.success.easy.pool	13	"Himlen skiftade färg,
och en berättelse nådde sitt slut."
outcome.success.easy.pool	14	"Vågorna stillnade,
och havet dolde åter sitt djup."
outcome.success.easy.pool	15	"Stegen stannade,
och bara platsen fanns kvar."
outcome.success.easy.pool	16	"Seger och nederlag
är inget annat än sandkorn."
outcome.success.easy.pool	17	"Vägen fortsätter — eller tar slut.
Hur som helst vilar den på samma jord."
outcome.success.normal.pool	4	"Glaset höll andan,
och du stod kvar."
outcome.success.normal.pool	5	"Under himlens stillhet
vek inte ditt mod."
outcome.success.normal.pool	6	"Få saker lyser för alltid.
Men det här ögonblicket lyste klart."
outcome.success.normal.pool	7	"Du korsade den sköra jorden
utan att tappa blicken."
outcome.success.normal.pool	8	"Ögonblicket passerade.
Det som blev kvar består."
outcome.success.normal.pool	9	"Tur bleknar snabbt.
Ordning består."
outcome.success.normal.pool	10	"Himlen gör inga uppehåll i sin ändlösa cirkel,
och inte heller gjorde du det."
outcome.success.normal.pool	11	"Centrum nåddes.
Världen stod stilla."
outcome.success.normal.pool	12	"Äntligen här.
Sanningen står orubblig."
outcome.success.normal.pool	13	"Du gick hela vägen.
Och minns detta: det var du, och ingen annan, som valde den."
outcome.success.normal.pool	14	"Tiden gled in i tystnad,
och fann sin plats i sinnets djup."
outcome.success.normal.pool	15	"När himlen förändrades
fick berättelsen sitt slut."
outcome.success.normal.pool	16	"Vattnet stillnade,
och himlen dolde åter sitt avgrundsdjup."
outcome.success.normal.pool	17	"Stegen upphörde,
och bara platsen fanns kvar."
outcome.success.normal.pool	18	"Ljuset föll jämnt,
och varje skugga försvann."
outcome.success.normal.pool	19	"Vinden tystnade.
Och allt återvände dit det hörde hemma."
outcome.success.normal.pool	20	"Ett ögonblick av tystnad.
Världen hämtade andan."
outcome.success.normal.pool	21	"Spåret ristades djupt i sanden —
utom räckhåll för vinden."
outcome.success.normal.pool	22	"Balansen återställdes.
Allt hade lett fram till detta ögonblick."
outcome.success.normal.pool	23	"LOPPET SLUTFÖRT.
Klart. Funnet.
Det räcker."
outcome.success.normal.pool	24	"LOPPET SLUTFÖRT.
Vägen höll.
Det gjorde du också."
outcome.success.normal.pool	25	"Himlen fortsatte röra sig.
Det kan du också."
outcome.success.normal.pool	26	"LOPPET SLUTFÖRT.
Ett stilla resultat.
Tyngden av verkligt arbete."
outcome.success.normal.pool	27	"Du gick bara den väg
som världen hade lagt framför dig."
outcome.success.normal.pool	28	"Marken gav inte vika.
Den litade på dina steg."
outcome.success.normal.pool	29	"Det här ögonblicket föll i takt
med stjärnornas uråldriga rytm."
outcome.success.normal.pool	30	"Du tog ingenting.
Du förstod något."
outcome.success.normal.pool	31	"Du vann ingenting.
Du såg bara sanningen som den var."
outcome.success.normal.pool	32	"Du tog inte den här platsen.
Du hörde hemma här."
outcome.success.normal.pool	33	"Du gick en väg
äldre än minnet självt."
outcome.success.normal.pool	34	"Jorden gjorde inget motstånd.
Den kände igen dig."
outcome.success.normal.pool	35	"Det här ögonblicket föll i takt
med stjärnornas stillhet."
outcome.success.hard.pool	4	"Resultatet stod kvar.
Positionen förändrades."
outcome.success.hard.pool	5	"Mellan is och glas
valde du kontroll."
outcome.success.hard.pool	6	"Vågorna tystnade,
och havet tog tillbaka sina dolda djup."
outcome.success.hard.pool	7	"Några skatter väntar ännu.
Nästa gång, en annan väg."
outcome.success.hard.pool	8	"Himlen förändrades inte.
Det gjorde du."
outcome.success.hard.pool	9	"Ögonblicket passerade.
Det som blev kvar var ordning."
outcome.success.hard.pool	10	"Vintern är ärlig.
Det var ditt lopp också."
outcome.success.hard.pool	11	"Stjärnorna stod rätt för ett ögonblick.
Du märkte det."
outcome.success.hard.pool	12	"Avståndet slöts.
Tiden gjorde det inte."
outcome.success.hard.pool	13	"Världens regler stod fasta.
Och möjligheten var verklig."
outcome.success.hard.pool	14	"Vägen slöt sig tyst.
Du var redan igenom."
outcome.success.hard.pool	15	"Ingenting förändrades.
Bara din position gjorde det."
outcome.success.hard.pool	16	"Inte tur.
Samklang."
outcome.success.hard.pool	17	"Ögonblicket passerade.
Resultatet består."
outcome.success.hard.pool	18	"Utfallet förändrades inte.
Ändå gick du vidare."
outcome.success.hard.pool	19	"Resultatet förändrades inte.
Men du nådde en ny nivå."
outcome.success.hard.pool	20	"Slutet var detsamma.
Men den som nådde dit hade förändrats."
outcome.success.hard.pool	21	"Målet är detsamma
— men du är inte längre den resenär du var."
outcome.success.hard.pool	22	"Ljuset föll jämnt,
och varje skugga försvann."
outcome.success.hard.pool	23	"Vinden tystnade.
Och allt återvände dit det hörde hemma."
outcome.success.hard.pool	24	"Ett ögonblick av tystnad.
Världen hämtade andan."
outcome.success.hard.pool	25	"Spåret ristades djupt i sanden —
utom räckhåll för vinden."
outcome.success.hard.pool	26	"Balansen återställdes.
Allt hade lett fram till detta ögonblick."
outcome.success.hard.pool	27	"Tiden gled förbi i tystnad,
gömd i minnets hörn."
outcome.success.hard.pool	28	"Himlen skiftade färg,
och en berättelse nådde sitt slut."
outcome.success.hard.pool	29	"Vågorna stillnade,
och havet dolde åter sitt djup."
outcome.success.hard.pool	30	"Stegen stannade,
och bara platsen fanns kvar."
outcome.success.hard.pool	31	"Seger och nederlag
är inget annat än sandkorn."
outcome.success.hard.pool	32	"Vägen fortsätter — eller tar slut.
Hur som helst vilar den på samma jord."
outcome.timeup.easy.pool	4	"Det räcker för nu.
Vidare till nästa steg."
outcome.timeup.easy.pool	5	"Du är fortfarande här.
Det är det som räknas."
outcome.timeup.easy.pool	6	"Loppet tog slut.
Inte du."
outcome.timeup.easy.pool	7	"TIDEN ÄR UTE.
Loppet tog slut.
Inte du."
outcome.timeup.easy.pool	8	"TIDEN ÄR UTE.
Reglerna förändras inte.
Försök igen."
outcome.timeup.easy.pool	9	"TIDEN ÄR UTE.
”Så nära” är också verkligt."
outcome.timeup.easy.pool	10	"Solen sjönk,
och skuggan täckte världen igen."
outcome.timeup.easy.pool	11	"De sista sandkornen föll,
och berättelsen slöts i tystnad."
outcome.timeup.easy.pool	12	"Vinden drog förbi,
och fotspåren försvann utan spår."
outcome.timeup.easy.pool	13	"Tidvattnet steg,
och det som funnits där återvände till havet."
outcome.timeup.easy.pool	14	"Tystnad.
Bara tiden passerade."
outcome.timeup.easy.pool	15	"Seger och nederlag
är inget annat än sandkorn."
outcome.timeup.easy.pool	16	"Vägen fortsätter — eller tar slut.
Hur som helst vilar den på samma jord."
outcome.timeup.normal.pool	4	"Några skatter väntar ännu.
Låt oss pröva en annan väg."
outcome.timeup.normal.pool	5	"Resultatet stod kvar.
Positionen förändrades."
outcome.timeup.normal.pool	6	"Tiden tog slut.
Meningen gjorde det inte."
outcome.timeup.normal.pool	7	"Så nära.
Ljudet sade det."
outcome.timeup.normal.pool	8	"Kartan är fortfarande öppen.
Kom tillbaka till den."
outcome.timeup.normal.pool	9	"Världens regler stod fasta.
Möjlighetens signal var verklig."
outcome.timeup.normal.pool	10	Världen behöll sina regler.
outcome.timeup.normal.pool	11	"Ögonblicket passerade.
Resultatet består."
outcome.timeup.normal.pool	12	"Solen sjönk,
och skuggan täckte världen igen."
outcome.timeup.normal.pool	13	"De sista sandkornen föll,
och berättelsen slöts i tystnad."
outcome.timeup.normal.pool	14	"Vinden drog förbi,
och fotspåren försvann utan spår."
outcome.timeup.normal.pool	15	"Tidvattnet steg,
och det som funnits där återvände till havet."
outcome.timeup.normal.pool	16	"Tystnad.
Bara tiden passerade."
outcome.timeup.normal.pool	17	"Seger och nederlag
är inget annat än sandkorn."
outcome.timeup.normal.pool	18	"Vägen fortsätter — eller tar slut.
Hur som helst vilar den på samma jord."
outcome.timeup.normal.pool	19	"> Tiden tog slut.
> 
> Inget annat gjorde det."
outcome.timeup.normal.pool	20	"> Utfallet förändrades inte.
> 
> Men din position gjorde det."
outcome.timeup.hard.pool	4	"Vintern är tålmodig.
Var det också."
outcome.timeup.hard.pool	5	"Himlen fortsatte röra sig.
Det kommer du också att göra."
outcome.timeup.hard.pool	6	"Berättelsen går vidare.
Slutet har inte kommit än."
outcome.timeup.hard.pool	7	"Stjärnorna fanns där och såg på.
Igen."
outcome.timeup.hard.pool	8	"Isen tar sin tid.
Det behöver du också göra."
outcome.timeup.hard.pool	9	"Himlen fortsatte röra sig.
Det kan du också."
outcome.timeup.hard.pool	10	"Norden har lärt sig att vänta.
Det bör du också."
outcome.timeup.hard.pool	11	"Det här är ett mellanspel
— inte slutet."
outcome.timeup.hard.pool	12	"Som drivande moln:
tappa inte ditt flöde — som en flod."
outcome.timeup.hard.pool	13	"Ljudet var nära.
Avståndet var verkligt.
Men det ögonblicket gick inte att spara."
outcome.timeup.hard.pool	14	"Du närmade dig.
Det var bara tiden som inte gjorde det."
outcome.timeup.hard.pool	15	"Världen höll fast vid sina regler.
Du rörde vid deras kant."
outcome.timeup.hard.pool	16	"Du nådde inte skatten.
Men signalen var verklig."
outcome.timeup.hard.pool	17	"Ingenting förändrades.
Bara din position gjorde det."
outcome.timeup.hard.pool	18	"Det var inte tur.
Det var samklang."
outcome.timeup.hard.pool	19	"Ögonblicket gled undan,
men resultatet blev kvar."
outcome.timeup.hard.pool	20	"Du korsade skör mark
och lämnade horisonten obruten."
outcome.timeup.hard.pool	21	"Ingenting förändrades.
Bara din position gjorde det.
Det var inte tur.
Det var samklang.
Ögonblicket passerade.
Resultatet består."
outcome.timeup.hard.pool	22	"Solen sjönk,
och skuggan täckte världen igen."
outcome.timeup.hard.pool	23	"De sista sandkornen föll,
och berättelsen slöts i tystnad."
outcome.timeup.hard.pool	24	"Vinden drog förbi,
och fotspåren försvann utan spår."
outcome.timeup.hard.pool	25	"Tidvattnet steg,
och det som funnits där återvände till havet."
outcome.timeup.hard.pool	26	"Tystnad.
Bara tiden passerade."
outcome.timeup.hard.pool	27	"Seger och nederlag
är inget annat än sandkorn."
outcome.timeup.hard.pool	28	"Vägen fortsätter — eller tar slut.
Hur som helst vilar den på samma jord."
outcome.timeup.hard.pool	29	"Årstiden slöts.
Landet blev kvar."
outcome.timeup.hard.pool	30	"Vägen finns kvar.
Bara dina steg stannade."
outcome.timeup.hard.pool	31	"Din tid tog slut.
Himlen gjorde det inte."
outcome.timeup.hard.pool	32	"Det var inte ett avslag.
Bara tystnad."
outcome.timeup.hard.pool	33	"Världen är fortfarande hel.
Du kan återvända — förändrad."
outcome.timeup.hard.pool	34	"Årstiden tog slut.
Skogen blev kvar."
outcome.timeup.hard.pool	35	"Avståndet höll på att slutas.
Tiden behöll sin rytm."
outcome.timeup.hard.pool	36	"Din tid stannade.
Himlen fortsatte röra sig."
outcome.timeup.hard.pool	37	"Det var inte ett avslag.
Bara tystnad."
outcome.timeup.hard.pool	38	"Vägen finns fortfarande här.
Du kan komma tillbaka — förändrad."
